ApplicantIncome,CoapplicantIncome,Loan_Amount_Term,Credit_History,Loan_Status,LoanAmount_log,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_3,Dependents_0,Dependents_1,Dependents_2,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
5849,0.0,360.0,1.0,1,4.852030263919617,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1
4583,1508.0,360.0,1.0,0,4.852030263919617,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0
3000,0.0,360.0,1.0,1,4.189654742026425,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
2583,2358.0,360.0,1.0,1,4.787491742782046,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1
6000,0.0,360.0,1.0,1,4.948759890378168,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1
5417,4196.0,360.0,1.0,1,5.58724865840025,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1
2333,1516.0,360.0,1.0,1,4.553876891600541,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1
3036,2504.0,360.0,0.0,0,5.062595033026967,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
4006,1526.0,360.0,1.0,1,5.123963979403259,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
12841,10968.0,360.0,1.0,0,5.855071922202427,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
3200,700.0,360.0,1.0,1,4.248495242049359,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
2500,1840.0,360.0,1.0,1,4.6913478822291435,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
3073,8106.0,360.0,1.0,1,5.298317366548036,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
1853,2840.0,360.0,1.0,0,4.736198448394496,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0
1299,1086.0,120.0,1.0,1,2.833213344056216,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
4950,0.0,360.0,1.0,1,4.8283137373023015,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1
3596,0.0,240.0,1.0,1,4.605170185988092,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1
3510,0.0,360.0,0.0,0,4.330733340286331,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1
4887,0.0,360.0,1.0,0,4.890349128221754,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0
2600,3500.0,360.0,1.0,1,4.74493212836325,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
7660,0.0,360.0,0.0,0,4.6443908991413725,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1
5955,5625.0,360.0,1.0,1,5.752572638825633,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
2600,1911.0,360.0,0.0,0,4.7535901911063645,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0
3365,1917.0,360.0,0.0,0,4.718498871295094,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0
3717,2925.0,360.0,1.0,0,5.017279836814924,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
9560,0.0,360.0,1.0,1,5.25227342804663,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0
2799,2253.0,360.0,1.0,1,4.804021044733257,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
4226,1040.0,360.0,1.0,1,4.700480365792417,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1
1442,0.0,360.0,1.0,0,3.5553480614894135,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1
3750,2083.0,360.0,1.0,1,4.787491742782046,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0
4166,3369.0,360.0,1.0,0,5.303304908059076,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
3167,0.0,360.0,1.0,0,4.30406509320417,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1
4692,0.0,360.0,1.0,0,4.663439094112067,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0
3500,1667.0,360.0,1.0,1,4.736198448394496,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
12500,3000.0,360.0,1.0,0,5.768320995793772,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0
2275,2067.0,360.0,1.0,1,4.852030263919617,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
1828,1330.0,360.0,0.0,0,4.605170185988092,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
3667,1459.0,360.0,1.0,1,4.969813299576001,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
4166,7210.0,360.0,1.0,1,5.214935757608986,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1
3748,1668.0,360.0,1.0,1,4.700480365792417,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0
3600,0.0,360.0,1.0,0,4.382026634673881,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1
1800,1213.0,360.0,1.0,1,3.8501476017100584,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1
2400,0.0,360.0,1.0,1,4.31748811353631,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
3941,2336.0,360.0,1.0,1,4.897839799950911,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
4695,0.0,360.0,1.0,1,4.564348191467836,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1
3410,0.0,360.0,1.0,1,4.477336814478207,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1
5649,0.0,360.0,1.0,1,3.784189633918261,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
5821,0.0,360.0,1.0,1,4.969813299576001,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
2645,3440.0,360.0,0.0,0,4.787491742782046,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1
4000,2275.0,360.0,1.0,1,4.969813299576001,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0
1928,1644.0,360.0,1.0,1,4.605170185988092,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0
3086,0.0,360.0,1.0,1,4.787491742782046,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0
4230,0.0,360.0,1.0,0,4.718498871295094,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0
4616,0.0,360.0,1.0,0,4.897839799950911,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
11500,0.0,360.0,0.0,0,5.655991810819852,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1
2708,1167.0,360.0,1.0,1,4.574710978503383,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0
2132,1591.0,360.0,1.0,1,4.564348191467836,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
3366,2200.0,360.0,1.0,0,4.90527477843843,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
8080,2250.0,360.0,1.0,1,5.19295685089021,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
3357,2859.0,360.0,1.0,1,4.969813299576001,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1
2500,3796.0,360.0,1.0,1,4.787491742782046,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
3029,0.0,360.0,1.0,1,4.59511985013459,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
2609,3449.0,180.0,0.0,0,5.10594547390058,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0
4945,0.0,360.0,0.0,0,4.852030263919617,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0
4166,0.0,360.0,0.0,0,4.7535901911063645,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0
5726,4595.0,360.0,1.0,0,5.552959584921617,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
3200,2254.0,180.0,0.0,0,4.836281906951478,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1
10750,0.0,360.0,1.0,1,5.7430031878094825,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
7100,0.0,60.0,1.0,1,4.8283137373023015,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1
4300,0.0,360.0,0.0,0,4.912654885736052,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0
3208,3066.0,360.0,1.0,1,5.147494476813453,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
1875,1875.0,360.0,1.0,1,4.574710978503383,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0
3500,0.0,300.0,1.0,1,4.394449154672439,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0
4755,0.0,360.0,0.0,0,4.553876891600541,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0
5266,1774.0,360.0,1.0,1,5.231108616854587,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0
3750,0.0,480.0,1.0,0,4.727387818712341,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1
3750,4750.0,360.0,1.0,0,5.170483995038151,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1
1000,3022.0,360.0,1.0,0,4.700480365792417,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1
3167,4000.0,300.0,0.0,0,5.19295685089021,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
3333,2166.0,360.0,1.0,1,4.867534450455582,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0
3846,0.0,360.0,1.0,1,4.709530201312334,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0
2395,0.0,360.0,1.0,1,4.852030263919617,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0
1378,1881.0,360.0,1.0,0,5.117993812416755,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1
6000,2250.0,360.0,1.0,0,5.579729825986222,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
3988,0.0,240.0,1.0,1,3.912023005428146,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
2366,2531.0,360.0,1.0,1,4.912654885736052,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0
3333,2000.0,360.0,1.0,1,4.59511985013459,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0
2500,2118.0,360.0,1.0,1,4.6443908991413725,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
8566,0.0,360.0,1.0,1,5.3471075307174685,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1
5695,4167.0,360.0,1.0,1,5.1647859739235145,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
2958,2900.0,360.0,1.0,1,4.875197323201151,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
6250,5654.0,180.0,1.0,1,5.236441962829949,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0
3273,1820.0,360.0,1.0,1,4.394449154672439,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1
4133,0.0,360.0,1.0,1,4.804021044733257,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0
3620,0.0,120.0,1.0,1,3.2188758248682006,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0
6782,0.0,360.0,1.0,0,4.852030263919617,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1
2484,2302.0,360.0,1.0,1,4.919980925828125,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
1977,997.0,360.0,1.0,1,3.912023005428146,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
4188,0.0,180.0,1.0,1,4.74493212836325,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0
1759,3541.0,360.0,1.0,1,4.875197323201151,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
4288,3263.0,180.0,1.0,1,4.890349128221754,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1
4843,3806.0,360.0,1.0,1,5.017279836814924,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0
13650,0.0,360.0,1.0,1,4.852030263919617,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
4652,3583.0,360.0,1.0,1,4.852030263919617,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
3816,754.0,360.0,1.0,1,5.075173815233827,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
3052,1030.0,360.0,1.0,1,4.605170185988092,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
11417,1126.0,360.0,1.0,1,5.41610040220442,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
7333,0.0,360.0,1.0,0,4.787491742782046,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0
3800,3600.0,360.0,0.0,0,5.375278407684165,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
2071,754.0,480.0,1.0,1,4.543294782270004,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0
5316,0.0,360.0,1.0,1,4.912654885736052,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1
2929,2333.0,360.0,1.0,1,4.9344739331306915,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
3572,4114.0,360.0,0.0,0,5.0238805208462765,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0
7451,0.0,360.0,1.0,1,4.852030263919617,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
5050,0.0,360.0,1.0,1,4.770684624465665,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0
14583,0.0,180.0,1.0,1,5.220355825078324,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0
3167,2283.0,360.0,1.0,1,5.0369526024136295,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
2214,1398.0,360.0,1.0,1,4.442651256490317,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
5568,2142.0,360.0,1.0,0,5.1647859739235145,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
10408,0.0,360.0,1.0,1,5.556828061699537,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1
5667,2667.0,360.0,1.0,1,5.19295685089021,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
4166,0.0,360.0,1.0,1,3.784189633918261,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0
2137,8980.0,360.0,0.0,1,4.919980925828125,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0
2957,0.0,360.0,1.0,1,4.394449154672439,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0
4300,2014.0,360.0,1.0,1,5.267858159063328,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0
3692,0.0,360.0,1.0,1,4.532599493153256,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0
23803,0.0,360.0,1.0,1,5.91350300563827,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
3865,1640.0,360.0,1.0,1,4.852030263919617,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0
10513,3850.0,180.0,0.0,0,5.075173815233827,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1
6080,2569.0,360.0,1.0,0,5.204006687076795,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
20166,0.0,480.0,1.0,1,6.476972362889683,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1
2014,1929.0,360.0,1.0,1,4.30406509320417,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1
2718,0.0,360.0,1.0,1,4.248495242049359,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0
3459,0.0,120.0,1.0,1,3.2188758248682006,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0
4895,0.0,360.0,1.0,1,4.624972813284271,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0
4000,7750.0,360.0,1.0,0,5.66988092298052,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
4583,0.0,360.0,1.0,0,4.430816798843313,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0
3316,3500.0,360.0,1.0,1,4.477336814478207,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1
14999,0.0,360.0,0.0,0,5.488937726156687,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0
4200,1430.0,360.0,1.0,0,4.859812404361672,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0
5042,2083.0,360.0,1.0,0,5.220355825078324,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0
5417,0.0,360.0,1.0,1,5.123963979403259,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1
6950,0.0,180.0,1.0,1,5.1647859739235145,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0
2698,2034.0,360.0,1.0,1,4.804021044733257,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
11757,0.0,180.0,1.0,1,5.231108616854587,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
2330,4486.0,360.0,1.0,1,4.605170185988092,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
14866,0.0,360.0,1.0,1,4.248495242049359,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1
1538,1425.0,360.0,1.0,1,3.4011973816621555,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
10000,1666.0,360.0,1.0,0,5.41610040220442,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0
4860,830.0,360.0,1.0,1,4.8283137373023015,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
6277,0.0,360.0,0.0,0,4.770684624465665,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0
2577,3750.0,360.0,1.0,1,5.0238805208462765,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0
9166,0.0,360.0,1.0,0,5.497168225293202,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1
2281,0.0,360.0,1.0,0,4.727387818712341,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0
3254,0.0,360.0,1.0,1,3.912023005428146,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1
39999,0.0,180.0,0.0,1,6.396929655216146,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
6000,0.0,360.0,1.0,1,5.075173815233827,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0
9538,0.0,360.0,1.0,1,5.231108616854587,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
2980,2083.0,360.0,1.0,1,4.787491742782046,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0
4583,5625.0,360.0,1.0,1,5.541263545158426,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
1863,1041.0,360.0,1.0,1,4.584967478670572,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0
7933,0.0,360.0,1.0,0,5.616771097666572,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
3089,1280.0,360.0,0.0,0,4.795790545596741,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
4167,1447.0,360.0,1.0,1,5.062595033026967,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0
9323,0.0,180.0,1.0,1,4.31748811353631,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
3707,3166.0,360.0,1.0,1,5.204006687076795,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
4583,0.0,360.0,1.0,0,4.718498871295094,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0
2439,3333.0,360.0,1.0,1,4.859812404361672,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
2237,0.0,480.0,0.0,0,4.143134726391533,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0
8000,0.0,360.0,1.0,1,5.298317366548036,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0
1820,1769.0,360.0,1.0,1,4.553876891600541,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0
51763,0.0,300.0,1.0,1,6.551080335043404,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
3522,0.0,180.0,1.0,0,4.394449154672439,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0
5708,5625.0,360.0,1.0,1,5.231108616854587,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
4344,736.0,360.0,1.0,0,4.465908118654584,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0
3497,1964.0,360.0,1.0,1,4.7535901911063645,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
2045,1619.0,360.0,1.0,1,4.61512051684126,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0
5516,11300.0,360.0,0.0,0,6.20455776256869,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
3750,0.0,360.0,1.0,1,4.7535901911063645,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
2333,1451.0,480.0,0.0,0,4.624972813284271,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1
6400,7250.0,360.0,0.0,0,5.19295685089021,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
1916,5063.0,360.0,1.0,0,4.204692619390966,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0
4600,0.0,180.0,1.0,1,4.290459441148391,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
33846,0.0,360.0,1.0,0,5.560681631015528,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
3625,0.0,360.0,1.0,1,4.68213122712422,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
39147,4750.0,360.0,1.0,1,4.787491742782046,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0
2178,0.0,300.0,0.0,0,4.189654742026425,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0
2383,2138.0,360.0,1.0,1,4.060443010546419,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
674,5296.0,360.0,1.0,1,5.123963979403259,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0
9328,0.0,180.0,1.0,1,5.236441962829949,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
4885,0.0,360.0,1.0,1,3.871201010907891,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0
12000,0.0,360.0,1.0,0,5.099866427824199,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0
6033,0.0,360.0,1.0,0,5.075173815233827,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1
3858,0.0,360.0,1.0,1,4.330733340286331,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0
4191,0.0,360.0,1.0,1,4.787491742782046,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0
3125,2583.0,360.0,1.0,0,5.135798437050262,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
8333,3750.0,360.0,1.0,1,5.231108616854587,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0
1907,2365.0,360.0,1.0,1,4.787491742782046,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1
3416,2816.0,360.0,1.0,1,4.727387818712341,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
11000,0.0,360.0,1.0,0,4.418840607796598,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1
2600,2500.0,360.0,1.0,1,4.499809670330265,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0
